trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20240102,4090,674,659
20240102,4100,165,144
20240102,4110,632,612
20240102,4120,5156,4674
20240102,4130,1009,997
20240102,4140,563,534
20240102,4150,1296,1263
20240102,4160,189,198
20240102,4170,3566,3601
20240102,4180,1522,1412
20240102,4190,2234,2340
20240102,4200,2823,2944
20240102,4210,3826,4128
20240102,4220,22715,23077
20240102,4250,1322,1746
20240102,4260,733,788
20240102,4270,396,410
20240102,4271,686,981
20240102,4272,2995,2575
20240102,4290,1054,2274
20240102,4300,1667,1700
20240102,4310,2441,2333
20240102,4320,1240,1439
20240102,4330,2239,2377
20240102,4340,10819,11685
20240102,4350,799,769
20240102,4360,895,844
20240102,4370,1470,1413
20240102,4380,467,502
20240102,4390,657,676
20240102,4400,12837,12506
20240102,4410,919,920
20240102,4420,1750,1596
20240102,4430,1457,1369
20240102,4440,5467,4981
20240102,4450,674,639
20240102,4460,1154,1142
20240102,4470,173,168
20240102,5000,10167,9556
20240102,5010,257,256
20240102,5020,183,173
20240102,5030,957,900
20240102,5040,298,281
20240102,5050,4051,3528
20240102,5060,241,195
20240102,5070,546,565
20240102,5080,34,30
20240102,5090,568,498
20240102,5100,195,174
20240102,5110,79,1171
20240102,5120,1062,891
20240102,5130,1091,2
20240102,5190,185,179
20240102,5200,27,19
20240102,5210,657,660
20240102,5220,210,128
20240102,5230,827,856
20240102,5240,10,15
20240102,6000,6718,4012
20240102,6010,5,5
20240102,6020,265,158
20240102,6030,53,70
20240102,6040,14,12
20240102,6050,729,487
20240102,6060,7,13
20240102,6070,719,454
20240102,6080,243,183
20240102,6090,7,10
20240102,6100,15,7
20240102,6110,1595,1178
20240102,6120,14,11
20240102,6130,637,678
20240102,6140,44,41
20240102,6150,4,5
20240102,6160,561,342
20240102,6170,51,42
20240102,6180,477,334
20240102,6190,22,22
20240102,6200,40,11
20240102,6210,59,48
20240102,6220,411,384
20240102,6230,3,13
20240102,6240,298,580
20240102,6250,676,622
20240102,7000,11069,10157
20240102,7010,153,172
20240102,7020,15,12
20240102,7030,761,624
20240102,7040,22,25
20240102,7050,53,52
20240102,7060,865,845
20240102,7070,7,9
20240102,7080,10,12
20240102,7090,827,723
20240102,7100,176,179
20240102,7110,15,24
20240102,7120,477,589
20240102,7130,663,700
